"","ASR","category","type","rankings","iso","name"
"1882",0.2,"thyroid","mortality",157,"BWA","Botswana"
"1883",0.2,"thyroid","mortality",157,"CIV","Côte D'Ivoire"
"1884",0.2,"thyroid","mortality",157,"KAZ","Kazakhstan"
"1885",0.2,"thyroid","mortality",157,"AZE","Azerbaijan"
"1886",0.2,"thyroid","mortality",157,"FIN","Finland"
"1887",0.2,"thyroid","mortality",157,"IRL","Ireland"
"1888",0.2,"thyroid","mortality",157,"GBR","United Kingdom of Great Britain and Northern Ireland"
"1889",0.2,"thyroid","mortality",157,"GRC","Greece"
"1890",0.2,"thyroid","mortality",157,"MKD","The former Yugoslav Republic of Macedonia"
"1891",0.2,"thyroid","mortality",157,"FRA","France"
"1892",2.9,"stomach","incidence",157,"GHA","Ghana"
"1893",4.4,"colorectum","incidence",157,"BEN","Benin"
"1894",22.7,"breast","incidence",158,"BFA","Burkina Faso"
"1895",2.6,"liver","incidence",158,"LBN","Lebanon"
"1896",2.8,"stomach","incidence",158,"IDN","Indonesia"
"1897",4.3,"colorectum","incidence",158,"GNQ","Equatorial Guinea"
"1898",4.3,"colorectum","incidence",158,"GTM","Guatemala"
"1899",3.3,"colorectum","mortality",158,"GAB","Gabon"
"1900",3.3,"colorectum","mortality",158,"NAM","Namibia"
"1901",3.3,"colorectum","mortality",158,"NGA","Nigeria"
"1902",22.4,"breast","incidence",159,"ZMB","Zambia"
"1903",22.4,"breast","incidence",159,"SEN","Senegal"
"1904",9.3,"breast","mortality",159,"KHM","Cambodia"
"1905",9.3,"breast","mortality",159,"LAO","Lao People's Democratic Republic"
"1906",2.3,"lung","incidence",159,"SSD","South Sudan"
"1907",2,"lung","mortality",159,"SSD","South Sudan"
"1908",2.5,"liver","incidence",159,"ESH","Western Sahara"
"1909",2.5,"liver","incidence",159,"MTQ","Martinique"
"1910",2.5,"liver","incidence",159,"IRN","Iran (Islamic Republic of)"
"1911",2.5,"liver","incidence",159,"SWE","Sweden"
"1912",2.7,"stomach","incidence",159,"DJI","Djibouti"
"1913",2.7,"stomach","incidence",159,"MWI","Malawi"
"1914",2.7,"stomach","incidence",159,"COG","Congo"
"1915",2.1,"lung","incidence",160,"SEN","Senegal"
"1916",1.8,"lung","mortality",160,"AGO","Angola"
"1917",1.8,"lung","mortality",160,"SDN","Sudan"
"1918",1.8,"lung","mortality",160,"SEN","Senegal"
"1919",4.2,"colorectum","incidence",160,"TCD","Chad"
"1920",4.2,"colorectum","incidence",160,"NGA","Nigeria"
"1921",22.1,"breast","incidence",161,"CHN","China"
"1922",22.1,"breast","incidence",161,"MMR","Myanmar"
"1923",9.1,"breast","mortality",161,"SAU","Saudi Arabia"
"1924",2,"lung","incidence",161,"AGO","Angola"
"1925",2,"lung","incidence",161,"SDN","Sudan"
"1926",3.1,"colorectum","mortality",161,"SEN","Senegal"
"1927",8.8,"breast","mortality",162,"MWI","Malawi"
"1928",8.8,"breast","mortality",162,"SLV","El Salvador"
"1929",2.4,"liver","mortality",162,"ERI","Eritrea"
"1930",2.6,"stomach","incidence",162,"KWT","Kuwait"
"1931",2.4,"stomach","mortality",162,"ERI","Eritrea"
"1932",4.1,"colorectum","incidence",162,"GHA","Ghana"
"1933",3,"colorectum","mortality",162,"TGO","Togo"
"1934",3,"colorectum","mortality",162,"GUF","French Guiana"
"1935",3,"colorectum","mortality",162,"BTN","Bhutan"
"1936",3,"colorectum","mortality",162,"PAK","Pakistan"
"1937",22,"breast","incidence",163,"HTI","Haiti"
"1938",1.8,"lung","incidence",163,"ZMB","Zambia"
"1939",1.7,"lung","mortality",163,"ZMB","Zambia"
"1940",2.4,"liver","incidence",163,"MUS","Mauritius"
"1941",2.4,"liver","incidence",163,"TTO","Trinidad and Tobago"
"1942",2.3,"liver","mortality",163,"CAF","Central African Republic"
"1943",2.3,"liver","mortality",163,"GNQ","Equatorial Guinea"
"1944",2.3,"liver","mortality",163,"EGY","Egypt"
"1945",2.3,"liver","mortality",163,"SWZ","Swaziland"
"1946",2.3,"liver","mortality",163,"TLS","Timor-Leste"
"1947",2.5,"stomach","incidence",163,"EGY","Egypt"
"1948",2.3,"stomach","mortality",163,"CAF","Central African Republic"
"1949",2.3,"stomach","mortality",163,"GNQ","Equatorial Guinea"
"1950",2.3,"stomach","mortality",163,"EGY","Egypt"
"1951",2.3,"stomach","mortality",163,"SWZ","Swaziland"
"1952",2.3,"stomach","mortality",163,"TLS","Timor-Leste"
"1953",4,"colorectum","incidence",163,"PAK","Pakistan"
"1954",21.7,"breast","incidence",164,"BGD","Bangladesh"
"1955",8.7,"breast","mortality",164,"TJK","Tajikistan"
"1956",1.7,"lung","incidence",164,"BDI","Burundi"
"1957",1.7,"lung","incidence",164,"CIV","Côte D'Ivoire"
"1958",1.6,"lung","mortality",164,"GNB","Guinea Bissau"
"1959",2.4,"stomach","incidence",164,"ERI","Eritrea"
"1960",2.4,"stomach","incidence",164,"CMR","Cameroon"
"1961",2.4,"stomach","incidence",164,"GAB","Gabon"
"1962",2.4,"stomach","incidence",164,"FJI","Fiji"
